state_name,district_name_raw,district_name_clean,lgd_district_code,year,fluoride_avg,ph_avg,hardness_avg,contamination_index,num_stations,match_confidence
ARUNACHAL PRADESH,LOWER SUBANSIRI,Lower Subansiri,236.0,2015,0.6499429197635515,7.955365891366213,314.63801180302147,0,1,100.0
ARUNACHAL PRADESH,LOWER SUBANSIRI,Lower Subansiri,236.0,2016,0.31,7.4,85.0,0,1,100.0
ARUNACHAL PRADESH,LOWER SUBANSIRI,Lower Subansiri,236.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,1,100.0
ARUNACHAL PRADESH,LOWER SUBANSIRI,Lower Subansiri,236.0,2018,0.6499429197635515,7.955365891366213,314.63801180302147,0,1,100.0
ARUNACHAL PRADESH,PAPUM PARE,Papum Pare,237.0,2011,0.6499429197635515,7.955365891366213,314.63801180302147,0,10,100.0
ARUNACHAL PRADESH,PAPUM PARE,Papum Pare,237.0,2012,0.6499429197635515,7.955365891366213,314.63801180302147,0,10,100.0
ARUNACHAL PRADESH,PAPUM PARE,Papum Pare,237.0,2013,0.51,8.0,88.0,1,10,100.0
ARUNACHAL PRADESH,PAPUM PARE,Papum Pare,237.0,2014,0.37,8.3,120.0,0,10,100.0
ARUNACHAL PRADESH,PAPUM PARE,Papum Pare,237.0,2015,0.19999999999999998,7.766666666666667,60.0,1,10,100.0
ARUNACHAL PRADESH,PAPUM PARE,Papum Pare,237.0,2016,0.17777777777777778,7.355555555555556,58.333333333333336,1,10,100.0
ARUNACHAL PRADESH,PAPUM PARE,Papum Pare,237.0,2017,0.17333333333333334,7.921666666666667,93.33333333333333,1,10,100.0
ARUNACHAL PRADESH,PAPUM PARE,Papum Pare,237.0,2018,31.385,6.5755,43.40485425,2,10,100.0
ARUNACHAL PRADESH,TIRAP,Tirap,239.0,2011,0.6499429197635515,7.955365891366213,314.63801180302147,0,5,100.0
ARUNACHAL PRADESH,TIRAP,Tirap,239.0,2012,0.6499429197635515,7.955365891366213,314.63801180302147,0,5,100.0
ARUNACHAL PRADESH,TIRAP,Tirap,239.0,2013,0.14,8.376666666666667,121.33333333333333,1,5,100.0
ARUNACHAL PRADESH,TIRAP,Tirap,239.0,2014,0.6499429197635515,7.955365891366213,314.63801180302147,0,5,100.0
ARUNACHAL PRADESH,TIRAP,Tirap,239.0,2015,0.18333333333333335,7.566666666666666,57.333333333333336,0,5,100.0
ARUNACHAL PRADESH,TIRAP,Tirap,239.0,2016,0.11200000000000002,7.2104,47.0,0,5,100.0
ARUNACHAL PRADESH,TIRAP,Tirap,239.0,2017,0.06666666666666667,6.750333333333333,34.0272,1,5,100.0
ARUNACHAL PRADESH,TIRAP,Tirap,239.0,2018,0.025,6.129,50.0,1,5,100.0
ASSAM,BAKSA,Baksa,616.0,2011,0.6499429197635515,7.955365891366213,314.63801180302147,0,9,100.0
ASSAM,BAKSA,Baksa,616.0,2012,0.6499429197635515,7.98,140.0,0,9,100.0
ASSAM,BAKSA,Baksa,616.0,2013,0.6499429197635515,7.955365891366213,314.63801180302147,0,9,100.0
ASSAM,BAKSA,Baksa,616.0,2014,0.6499429197635515,8.4,100.0,1,9,100.0
ASSAM,BAKSA,Baksa,616.0,2015,0.42,8.36,144.0,0,9,100.0
ASSAM,BAKSA,Baksa,616.0,2016,0.07,8.350000000000001,111.25,1,9,100.0
ASSAM,BAKSA,Baksa,616.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,9,100.0
ASSAM,BAKSA,Baksa,616.0,2018,0.86,8.393,155.0,0,9,100.0
ASSAM,BARPETA,Barpeta,280.0,2011,0.6499429197635515,8.2,255.0,1,10,100.0
ASSAM,BARPETA,Barpeta,280.0,2012,0.6499429197635515,8.2,255.0,1,10,100.0
ASSAM,BARPETA,Barpeta,280.0,2013,0.58,8.3,210.0,1,10,100.0
ASSAM,BARPETA,Barpeta,280.0,2014,0.2,8.7,200.0,2,10,100.0
ASSAM,BARPETA,Barpeta,280.0,2015,0.18000000000000002,8.366666666666667,128.0,1,10,100.0
ASSAM,BARPETA,Barpeta,280.0,2016,0.07375,8.348625,201.875,2,10,100.0
ASSAM,BARPETA,Barpeta,280.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,10,100.0
ASSAM,BARPETA,Barpeta,280.0,2018,0.35,8.305,207.5,1,10,100.0
ASSAM,BONGAIGAON,Bongaigaon,281.0,2011,0.6499429197635515,7.06,65.0,0,22,100.0
ASSAM,BONGAIGAON,Bongaigaon,281.0,2012,0.6499429197635515,8.48,275.0,1,22,100.0
ASSAM,BONGAIGAON,Bongaigaon,281.0,2013,0.4425,8.125,121.75,1,22,100.0
ASSAM,BONGAIGAON,Bongaigaon,281.0,2014,0.22666666666666668,8.233333333333333,132.0,0,22,100.0
ASSAM,BONGAIGAON,Bongaigaon,281.0,2015,0.5766666666666667,7.692222222222223,61.333333333333336,1,22,100.0
ASSAM,BONGAIGAON,Bongaigaon,281.0,2016,0.36590909090909085,7.974636363636364,109.77272727272727,1,22,100.0
ASSAM,BONGAIGAON,Bongaigaon,281.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,22,100.0
ASSAM,BONGAIGAON,Bongaigaon,281.0,2018,0.19666666666666666,7.015333333333333,95.83333333333333,0,22,100.0
ASSAM,CACHAR,Cachar,282.0,2011,0.6499429197635515,7.726000000000001,170.0,0,30,100.0
ASSAM,CACHAR,Cachar,282.0,2012,0.6499429197635515,7.726000000000001,170.0,0,30,100.0
ASSAM,CACHAR,Cachar,282.0,2013,0.16999999999999998,7.300000000000001,38.0,0,30,100.0
ASSAM,CACHAR,Cachar,282.0,2014,0.13375,8.175,100.8,0,30,100.0
ASSAM,CACHAR,Cachar,282.0,2015,0.05625,7.8925,100.5,1,30,100.0
ASSAM,CACHAR,Cachar,282.0,2016,0.519,7.608,93.25,1,30,100.0
