country,state_name,state_code,district_name,district_code,department type,department,csir_spent_inr_crores,year,csir_spent_usd_millions
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2019,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,Heritage Art And Culture,0.09,2019,0.010843373493975902
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2020,0.0
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.01,2020,0.0012048192771084338
India,Jammu And Kashmir,1,Udhampur,14,Other than Aspirational,Heritage Art And Culture,0.0,2020,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2014,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2014,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2014,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2015,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2015,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2015,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2016,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2016,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2016,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2017,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2017,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2017,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2018,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2018,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2018,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Education, Differently Abled, livelihood",0.08,2019,0.00963855421686747
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2019,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2019,0.0
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Education, Differently Abled, livelihood",3.19,2020,0.38433734939759034
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2020,0.0
